author,content,timestamp,uri
guillaume-mvcdlm.bsky.social,"Bien avant les trends IA à la con, remember quand j'avais transformé Kwyxz, @birce.bsky.social et @bulbeuse.bsky.social en Funko Pop pour les besoins de leur podcast.

www.lamotodequideja.fr",2025-04-10T09:00:23.682Z,at://did:plc:vzzkxk7rgndi4d33s52xlpsk/app.bsky.feed.post/3lmh5chwq322v
homosapiens-marc.bsky.social,"Au delà des images, la musique générée par IA est totalement fade et sans intérêt, a part pour sonoriser un ascenceur ou un parking.",2025-04-10T08:58:15.981Z,at://did:plc:dujxhgn3zdvimgpzutnzzffj/app.bsky.feed.post/3lmh56omims2r
lareclame.bsky.social,"🚇 Comment Mediatransports a accéléré grâce au DOOH ?

💡 Digitalisation, data, IA, DMP, programmatique...

🎯 100 M€ de CA, soit 1/3 de la régie, avec moins d’emplacements.

🗣️ L’interview de Valérie Decamp est à lire dans notre newsletter spéciale DOOH 👇
lareclame.fr/dooh-valerie...",2025-04-10T08:56:29.286Z,at://did:plc:iympjldro3ym2nv4fodswcv3/app.bsky.feed.post/3lmh53c4nyk2a
dralasite.bsky.social,J'avais vu une explication: les images IA sont utilisées (ou repostées) massivement par les boomers pour faire de la merde et ça impacte la perception que l'on en a.,2025-04-10T08:53:56.877Z,at://did:plc:l6ivtiaxkb4hjmp4pb6sanim/app.bsky.feed.post/3lmh4wxnzps2k
dralasite.bsky.social,"Déjà, il me semble qu'avant même les IA, on a une surproduction de BDs en France, certaines de qualité douteuses (mais toujours mieux que les merdes par IA)",2025-04-10T08:51:11.379Z,at://did:plc:l6ivtiaxkb4hjmp4pb6sanim/app.bsky.feed.post/3lmh4rzwj7k2k
mi-homme-michel.bsky.social,Il le fait toujours je pense. Et il s'extasie sur Facebook sur les images IA d'enfants qui font des chevaux taille réelle en pain de campagne.,2025-04-10T08:49:44.177Z,at://did:plc:xitseypgueev2n3hpqv6rvpn/app.bsky.feed.post/3lmh4peg6pk2i
flysalami.bsky.social,Aune IA n'est en capacité de retranscrire aussi bien que la réalité votre sexytude alliée à celle indépassable d'un restaurant franchisé Buffalo Grill.,2025-04-10T08:48:45.104Z,at://did:plc:ca7e6tmuditpc3muorqjl3nb/app.bsky.feed.post/3lmh4noebc22d
liddellstl.bsky.social,Alors déso mais les chaussettes à doigts ça ne peut être qu'une invention d'une IA !,2025-04-10T08:48:08.780Z,at://did:plc:x3ekgz6yifb7bmwn5nji62yb/app.bsky.feed.post/3lmh4mmimjs2i
raymondkraemer.bsky.social,"D'ailleurs, j'ai pas vu passer beaucoup de fausses photos générées par IA avec Cantat dessus.
Pourtant ça collerait bien avec le tropisme mascu.",2025-04-10T08:47:31.081Z,at://did:plc:wylktpicg4xrfj2lzpdngqij/app.bsky.feed.post/3lmh4lieclc24
korben.info,"🤖🍀 On s'entoure tous de l'IA sans s'en rendre compte ! Mais comment reconnaître un texte écrit par une IA ? Intrigant, non ? #Tech #IA #Curieux",2025-04-10T08:45:11.082Z,at://did:plc:aru6i7k6wo43msubk6km5td3/app.bsky.feed.post/3lmh4hbyksa2v
charlesdubreuil.bsky.social,"Lancement des Assises nationales de l'éthique du numérique organisées par l' Observatoire de l'éthique publique.
J'y traiterai de l'acceptabilité démocratique et sociale du déploiement des IA publiques.",2025-04-10T08:43:23.281Z,at://did:plc:6xh24smrwhc3rkt5frdj6q3k/app.bsky.feed.post/3lmh4dzvxok2n
thomasorus.com,"Oui, et d'après une étude récente les gens réagissent mal en voyant des images générées par IA, ça donnerait une sensation de cheap.",2025-04-10T08:38:36.878Z,at://did:plc:bwayvok56aaive7d2ii5xeyp/app.bsky.feed.post/3lmh43kazu22b
intech-lux.bsky.social,"📢 lavalvirtual, jour 2 !
Merci pour votre enthousiasme hier 🙌

📍 Retrouvez InTech jusqu’au 11 avril – Hall B, Stand 13.

💬 Échangez avec notre #avatar Julia 🤖, testez une expérience en #VR et découvrez nos démos avec Dynalips !

#LavalVirtual #Innovation #Luxembourg #IA #Tech #IT #Team",2025-04-10T08:38:28.581Z,at://did:plc:pipponczg52wwfxcf4fotp2j/app.bsky.feed.post/3lmh42zpngc2y
madmaskedfurrytoad.bsky.social,"oh ben ça alors ! quelle surprise !
heureusement que l' #IA va nous sauver grâce au #technosolutionnisme !

oh et puis merde à la fin

#énergie #énergiesfossiles

www.lefigaro.fr/flash-eco/do...",2025-04-10T08:36:29.583Z,at://did:plc:s57qotm36zpjvqinn5akljpm/app.bsky.feed.post/3lmh3xlmgb22s
madmaskedfurrytoad.bsky.social,"oh ben ça alors ! quelle surprise !
heureusement que l' #IA va nous sauver, grâce au #technosolutionnisme !

#énergie #énergiesfossiles

www.liberation.fr/economie/eco...",2025-04-10T08:35:19.384Z,at://did:plc:s57qotm36zpjvqinn5akljpm/app.bsky.feed.post/3lmh3vl32hk2s
usbeketrica.bsky.social,"L'arrivée de IA générale, capable d’effectuer ou d’apprendre pratiquement n’importe quelle tâche cognitive propre aux humains serait plus ou moins imminente. On vous présente la chronologie entre percées algorithmiques, tensions géopolitiques et peur d’un scénario à la Terminator 👇
shorturl.at/i2fJG",2025-04-10T08:34:28.283Z,at://did:plc:n3fbgyh3jyfgheysmd6bftok/app.bsky.feed.post/3lmh3u2dzs22i
leur2feu.bsky.social,Il y a une uniformisation esthétique et un lissage de l'imaginaire. Entre la variété et la beauté que l'on trouve chez Ghibli et la fadeur du Ghibli IA il y a un monde.,2025-04-10T08:33:22.780Z,at://did:plc:m3mnkupg5jxxqig7qam5zc5d/app.bsky.feed.post/3lmh3s5s44k2x
aurelienmorel.bsky.social,"Mais, comme un film de série Z fait avec 30 balles et une idée, c'est bourré de créativité.

C'est un film de Roger Corman.

Quand les images générées par IA c'est du Marvel phase 32 avec un skybeam à la fin.",2025-04-10T08:31:47.034Z,at://did:plc:wcebhauummtcoljcysnboxil/app.bsky.feed.post/3lmh3pexztd2n
justgeekfr.bsky.social,"🤖 Anthropic lance Claude Max : deux nouveaux abonnements pour les pros de l’IA

👉 www.justgeek.fr/anthropic-cl...

#Anthropic #Claude #IA #AI",2025-04-10T08:29:16.480Z,at://did:plc:2rjj3kjqsa3lyyzvmijslvvr/app.bsky.feed.post/3lmh3ksq3222d
modiie.bsky.social,"Au lieu d’avoir Gibli dessiné par une IA je vous ai fait un Gibli dessiné par Modiie 

Croyez moi que la larve en claquettes chaussettes ne pouvait que sortir de mon esprit 🤓👌",2025-04-10T08:27:50.579Z,at://did:plc:agw36fs43mep44j2shczofts/app.bsky.feed.post/3lmh3i7onwk2n
tom1312.bsky.social,Tom's starter pack sans IA,2025-04-10T08:27:42.181Z,at://did:plc:cqxrnnq24zagkvmgkxof7nhp/app.bsky.feed.post/3lmh3hxhyns2z
artyomsenna.bsky.social,"C'est ça le truc. Comme l'IA ne crée rien mais agrège des œuvres existantes, ben comme il y a de plus en plus ""d'œuvres"" générées par ces IA que ces dernières agrègent à leur tour, et ainsi de suite pour tendre vers des daubasses similaires et uniformes.",2025-04-10T08:26:00.078Z,at://did:plc:ptqntvqh2uaiou7r5br7btba/app.bsky.feed.post/3lmh3eyiwns2r
ogechter.bsky.social,"Je note un réflexe de mépris de plus en plus important devant les productions d'images générées par IA. Les images qui arrachaient des cris d'extase l'an dernier sont souvent qualifiées de ""moches"" instantanément.",2025-04-10T08:25:43.779Z,at://did:plc:pwi4lzavzroqwkdb2sgh3bzp/app.bsky.feed.post/3lmh3egaua223
derfybzh.bsky.social,Les vignettes YouTube de l'enfer faitent par IA me font fuir rapidement.,2025-04-10T08:24:45.581Z,at://did:plc:sodn4tg67yl2vv77shktgisg/app.bsky.feed.post/3lmh3cre4b227
archy5.bsky.social,je suis une très bonne curateuse car j'ai vu aucun starter pack en ia ni sur bs ni sur ig !!!!!,2025-04-10T08:24:32.480Z,at://did:plc:3viqirfh2a3sq6dijfoq4tct/app.bsky.feed.post/3lmh3cdt5rc2g
corentin.bsky.social,J'ai cru que c'était un starterpack généré par IA,2025-04-10T08:19:22.680Z,at://did:plc:qfpamyffwldumcforfvtmqmu/app.bsky.feed.post/3lmh2z47cwc22
wans728.bsky.social,"Ben t'as vu comment celui de Massiet a été reçu ^^

Nan, ici c'est plus la version faite main, dans un style plus ou moins enfantin 

C'est un autre charme :)

(Ceux en IA, j'ai du en voir 3 en comptant celui de Massiet sinon)",2025-04-10T08:16:46.280Z,at://did:plc:6ms4grit4dm3kbucxikg3ja2/app.bsky.feed.post/3lmh2uhok2k2w
oscarlemaire.bsky.social,"Fut un temps où j'ai envisagé, n'ayant pas les moyens de payer un illustrateur, de mettre des illustrations IA dans mes articles. Je ne l'ai pas fait pour des questions éthiques. Mais là à l'heure actuelle je me dis que ce serait juste ajouter de la mocheté à mes articles.",2025-04-10T08:16:15.086Z,at://did:plc:sespqbn4p3glj4jz3xiiqbva/app.bsky.feed.post/3lmh2tkteep2e
kahene.bsky.social,J'ai toujours dis que les arts sous IA sortaient tous sous un style pseudo-animé dégueulasse qui fait uncanny valley.,2025-04-10T08:13:57.378Z,at://did:plc:lp43kbxl3koafxrm7psiativ/app.bsky.feed.post/3lmh2phdmm22i
antalyk.bsky.social,"par contre dès que tu va un peu plus loin genre une BD, c'est très compliqué. Comme tout ce que produit une IA ça auras l'air d'une BD de loin mais c'est tout",2025-04-10T08:12:30.179Z,at://did:plc:pb2ptyjko7d3spuodju4cqe2/app.bsky.feed.post/3lmh2mrclwc2y
oscarlemaire.bsky.social,"Je veux dire, y a un an comme tout le monde j'étais impressionné par les avancées, mais là maintenant on constate qu'au-delà de toutes les variantes genre Ghibli, y a quand même une sorte de style uniforme, sans âme, des illustrations IA qui arrive très vite à saturation.",2025-04-10T08:10:30.681Z,at://did:plc:sespqbn4p3glj4jz3xiiqbva/app.bsky.feed.post/3lmh2jcm67d25
ummaria.bsky.social,J'aime beaucoup ! Entre ça et les IA studio ghibli j'ai les dents serrées toute la journée,2025-04-10T08:10:14.581Z,at://did:plc:bz5jvjvzxgk3m23itb6ddmcs/app.bsky.feed.post/3lmh2isez7s2q
guipascanet.bsky.social,C'est rigolo les starter pack mais c'est pas encore un truc fabriqué avec une IA qui a tué 10 ours blancs ?,2025-04-10T08:10:09.279Z,at://did:plc:n4yvqerjjw4jfnyg3obb4rp6/app.bsky.feed.post/3lmh2io7tis2k
docteurbagarre.bsky.social,"Soit vous accordez le statut d'œuvre de l'esprit aux productions IA, auquel cas il est URGENT de leur donner des droits fondamentaux, soit vous considérez que les IA ne sont pas des personnes, auquel cas il n'y a pas d'œuvre de l'esprit, mais juste collage aléatoire.",2025-04-10T08:08:37.106Z,at://did:plc:7b2u767mes5z327exespff6i/app.bsky.feed.post/3lmh2fw73r22e
docteurbagarre.bsky.social,"Gros sujet que la nature des ""créations"" des IA génératives. Je vous conseille d'explorer les discussions.

Pour ma part, je place le souci au niveau de la confusion entre œuvre de l'esprit et création par amalgame, comme le font les IA.",2025-04-10T08:08:37.079Z,at://did:plc:7b2u767mes5z327exespff6i/app.bsky.feed.post/3lmh2fw6ytc2e
anthonyrochand.bsky.social,MindStudio : un outil gratuit pour créer des agents #IA facilement 🤖 digitiz.fr/mindstudio/,2025-04-10T08:07:55.183Z,at://did:plc:mds7tyqreijnw36bmof3av43/app.bsky.feed.post/3lmh2elhqus2k
arisastro.bsky.social,Même les IA ne débitent pas des conneries pareilles,2025-04-10T08:06:45.779Z,at://did:plc:ps4fxnsrcuoss625lfwvgqa5/app.bsky.feed.post/3lmh2clzrvc26
ledoshins.bsky.social,"Un peu aussi comme ça ? 

Aucune IA n'est capables de ramasser des centaines de canettes, de les découper en petits carrés et de venir crée de nluveaux tableaux uniques. 
www.canb.fr",2025-04-10T08:02:16.773Z,at://did:plc:qoigg55qv6e7rzhecfiptw24/app.bsky.feed.post/3lmh22kafgc2s
captainmyre.bsky.social,"✨ Envie d’un portrait personnalisé garanti sans IA ?
C’est exactement ce que je te propose via mon Ko-fi !🎨Un joli portrait cartoon de toi ou de tes proches, réalisé avec amour par mes petites mains.💛
Pour commander, c’est par ici 👉 ko-fi.com/captainmyre",2025-04-10T08:00:47.077Z,at://did:plc:ys3orfxp42mfo2zw6kq24enp/app.bsky.feed.post/3lmgzxtlups24
emmaoperatheatre.bsky.social,L'IA est du VOL de propriété intellectuelle (suite). J'espère que les ayants-droits d'Hervé vont les ATOMISER. #Tintin #intelligenceartificielle #IA ⬇️,2025-04-10T07:57:57.281Z,at://did:plc:723cte3dehxfbcpn5xxocj4a/app.bsky.feed.post/3lmgzst6uuc2l
birce.bsky.social,"On est passés à ça 🤏🏾 d'une entreprise à la comm éclatée comme Holy ou Burger King qui nous sort un ""Starter Pâques"" en IA.",2025-04-10T07:56:59.580Z,at://did:plc:upambrxlb4dgbt6vfis6xk6p/app.bsky.feed.post/3lmgzr4trik2l
mbrient.bsky.social,"Infrastructures, données de qualité & Datalabs, compétences ... la Commission Européenne publie un plan d'action pour un continent #IA : Shaping Europe’s leadership in artificial intelligence with the AI continent action plan commission.europa.eu/topics/eu-co...",2025-04-10T07:54:57.980Z,at://did:plc:dsfey4nbrqfdosid4g3x5uvw/app.bsky.feed.post/3lmgzndgalc2j
uneheuredepeine.bsky.social,"« Mais Denis, et si un artiste utilisait ces IA génératives en étant conscient de tout ça, ahah tu serais bien eu dans ce cas n’est-ce pas ? »

Alors oui, on peut imaginer qu’un artiste utilise une IA générative pour faire quelque chose. Un peu comme des artistes utilisent de déchets.",2025-04-10T07:54:29.677Z,at://did:plc:rkoe4ypzobig4w6be2mtcm5m/app.bsky.feed.post/3lmgzmkboic2f
guigui-le-gentil.bsky.social,#starterpack #fuckia,2025-04-10T07:53:05.589Z,at://did:plc:3iqa5zkirwgrmo4qo66ppopd/app.bsky.feed.post/3lmgzjzkp7k2y
gigafessoux.bsky.social,La meuf qui avait donné l'autorisation pour recréer la voix de son daron mort par IA pour une bande annonce de Stallone ?,2025-04-10T07:52:49.380Z,at://did:plc:fysowk3633f5wg7m6ok4c2lk/app.bsky.feed.post/3lmgzjnybp22z
biduleofficiel.bsky.social,"L'IA, nous ne savons pas si c'est intelligent, mais c'est drôle...

#ChatGPT #IA #IAArt #Art #ContemporaryArtist",2025-04-10T07:50:16.480Z,at://did:plc:bjfx6a436nkcxbjtn7ylilnb/app.bsky.feed.post/3lmgzeykttk2l
univparissaclay.bsky.social,"Une délégation du NIAR (National Institutes of Applied Research) de Taïwan, menée par son président Hung-Yin Tsai, est venue à UPSaclay afin de discuter de l'approfondissement de la coopération en #Recherche #Formation dans les domaines des #Sciences #Ingénierie #IA #médecine #Biotechnologies.",2025-04-10T07:48:21.885Z,at://did:plc:hq24xoggzbydlyfyuvf2bf77/app.bsky.feed.post/3lmgzbkviz22g
biduleofficiel.bsky.social,"Photo non contractuelle, jouet vendu séparément

#ChatGPT #IA #IAArt",2025-04-10T07:47:53.478Z,at://did:plc:bjfx6a436nkcxbjtn7ylilnb/app.bsky.feed.post/3lmgzaphges2l
uneheuredepeine.bsky.social,le produit que d’un artiste mais aussi de la collaboration avec d’autres travailleurs - Howard Becker disait qu’une œuvre d’art est toujours le produit d’un monde de l’art et non d’un artiste seul. Cette collaboration existe toujours dans les images générées par les IA mais outre qu’elle est forcée,2025-04-10T07:47:49.483Z,at://did:plc:rkoe4ypzobig4w6be2mtcm5m/app.bsky.feed.post/3lmgzamknms2f
medianormandie.bsky.social,"#Evreuxnormandie - L'Oeil 👁 de Willy #Colors 🌈 : Sur les réseaux sociaux, la mode est à la création de son « starter pack » avec l’aide des intelligences artificielles. Une tendance qui n’a rien d’amusant pour les artistes. #IA #StarterPack 
www.huffingtonpost.fr/life/article...",2025-04-10T07:46:07.082Z,at://did:plc:o2s4zwxlw3fwv5idbym4rdpb/app.bsky.feed.post/3lmgz5lezss2i
jamesvanottoprod.bsky.social,"Ah là là, tous ces gens qui sont du côté de la bonne pensée, des opprimés, de la culture et qui ne peuvent pas s'empêcher d'utiliser l'IA générative pour faire des images rigolotes (ou de partager des posts faits avec IA) dès que ça va dans le sens de leur idéologie ou de leur humeur du moment...",2025-04-10T07:45:10.080Z,at://did:plc:u3ycuywdiff4zkzau5zf4yay/app.bsky.feed.post/3lmgz3y5jx222
uneheuredepeine.bsky.social,"Un argument des pro-IA génératives est de dire que leur machin fait comme n’importe quel artiste : il absorbe des influences et les synthétise. C’est déjà douteux car un artiste ne fait pas que synthétiser : il donne du sens, y compris à ses influences. Mais en plus, une œuvre n’est jamais",2025-04-10T07:44:36.981Z,at://did:plc:rkoe4ypzobig4w6be2mtcm5m/app.bsky.feed.post/3lmgz2wiacs2f
